"Source","Kind","Id","Name","Desc","Category","Secret"
"TGStation","achievement","boss/tendril_exterminator","Tendril Exterminator","Watch your step","Misc","no"
"TGStation","achievement","boss/boss_killer","Boss Killer","You've come a long ways from asking how to switch hands.","Misc","no"
"TGStation","achievement","boss/blood_miner_kill","Blood-Drunk Miner Killer","I guess he couldn't handle his drink that well.","Misc","no"
"TGStation","achievement","boss/demonic_miner_kill","Demonic-Frost Miner Killer","Definitely harder than the Blood-Drunk Miner.","Misc","no"
"TGStation","achievement","boss/bubblegum_kill","Bubblegum Killer","I guess he wasn't made of candy after all","Misc","no"
"TGStation","achievement","boss/colossus_kill","Colossus Killer","The bigger they are... the better the loot","Misc","no"
"TGStation","achievement","boss/drake_kill","Drake Killer","Now I can wear Rune Platebodies!","Misc","no"
"TGStation","achievement","boss/hierophant_kill","Hierophant Killer","Hierophant, but not triumphant.","Misc","no"
"TGStation","achievement","boss/legion_kill","Legion Killer","We were many..now we are none.","Misc","no"
"TGStation","achievement","boss/wendigo_kill","Wendigo Killer","You've now ruined years of mythical storytelling.","Misc","no"
"TGStation","achievement","boss/thething_kill","Thing Killer","Thank goodness it was not infectious. Probably.","Misc","no"
"TGStation","achievement","boss/blood_miner_crusher","Blood-Drunk Miner Crusher","I guess he couldn't handle his drink that well.","Misc","no"
"TGStation","achievement","boss/demonic_miner_crusher","Demonic-Frost Miner Crusher","Definitely harder than the Blood-Drunk Miner.","Misc","no"
"TGStation","achievement","boss/bubblegum_crusher","Bubblegum Crusher","I guess he wasn't made of candy after all","Misc","no"
"TGStation","achievement","boss/colossus_crusher","Colossus Crusher","The bigger they are... the better the loot","Misc","no"
"TGStation","achievement","boss/drake_crusher","Drake Crusher","Now I can wear Rune Platebodies!","Misc","no"
"TGStation","achievement","boss/hierophant_crusher","Hierophant Crusher","Hierophant, but not triumphant.","Misc","no"
"TGStation","achievement","boss/legion_crusher","Legion Crusher","We were many... now we are none.","Misc","no"
"TGStation","achievement","boss/wendigo_crusher","Wendigo Crusher","You've now ruined years of mythical storytelling.","Misc","no"
"TGStation","achievement","boss/thething_crusher","Thing Crusher","MacReady would be proud.","Misc","no"
"TGStation","achievement","boss/king_goat_kill","King Goat Killer","The king is dead, long live the king!","Misc","no"
"TGStation","achievement","boss/king_goat_crusher","King Goat Crusher","The king is dead, long live the king!","Misc","no"
"TGStation","score","tendril_score","Tendril Score","Watch your step","Misc","no"
"TGStation","score","boss_score","Bosses Killed","You've killed HOW many?","Misc","no"
"TGStation","score","blood_miner_score","Blood-Drunk Miners Killed","You've killed HOW many?","Misc","no"
"TGStation","score","demonic_miner_score","Demonic-Frost Miners Killed","You've killed HOW many?","Misc","no"
"TGStation","score","bubblegum_score","Bubblegums Killed","You've killed HOW many?","Misc","no"
"TGStation","score","colussus_score","Colossus Killed","You've killed HOW many?","Misc","no"
"TGStation","score","drake_score","Drakes Killed","You've killed HOW many?","Misc","no"
"TGStation","score","hierophant_score","Hierophants Killed","You've killed HOW many?","Misc","no"
"TGStation","score","legion_score","Legions Killed","You've killed HOW many?","Misc","no"
"TGStation","score","swarmer_beacon_score","Swarmer Beacons Killed","You've killed HOW many?","Misc","no"
"TGStation","score","wendigo_score","Wendigos Killed","You've killed HOW many?","Misc","no"
"TGStation","score","thething_score","The Thing Killed","You've killed HOW many?","Misc","no"
"TGStation","achievement","jobs/theoretical_limits","All Within Theoretical Limits","I never thought I'd see a resonance cascade, let alone prevent one...","Misc","no"
"TGStation","achievement","jobs/sandman","Mister Sandman","Mechanically speaking, there's no real benefit to being unconscious during surgery. Weird how insistent this doctor is about using the N2O anyway though, huh?","Misc","no"
"TGStation","achievement","jobs/helbitaljanken","Helbitaljanken","You janked hard","Misc","no"
"TGStation","achievement","jobs/frenching","Frenching","Just a taste, for science!","Misc","no"
"TGStation","achievement","jobs/feat_of_strength","Feat of Strength","If the rod is immovable, is it passing you or are you passing it?","Misc","no"
"TGStation","achievement","jobs/snail","KKKiiilll mmmeee","You were a little too ambitious, but hey, I guess you're still alive?","Misc","no"
"TGStation","achievement","jobs/service_bad","Centcom Grade: Shitty Service","Well, you at least tried. How about trying harder?","Misc","no"
"TGStation","achievement","jobs/service_okay","Centcom Grade: Acceptable Service","Well, it'll do! You and your department did just fine.","Misc","no"
"TGStation","achievement","jobs/service_good","Centcom Grade: Exemplary Service","Centcom is very impressed with your department!","Misc","no"
"TGStation","score","chef_tourist_score","Tourists Served as Chef Highscore","Your highscore on serving tourist bots as chef.","Misc","no"
"TGStation","score","bartender_tourist_score","Tourists Served as Bartender Highscore","Your highscore on serving tourist bots as bartender.","Misc","no"
"TGStation","achievement","mafia/assistant","Assistant Victory","If you got killed instead of someone more important, you just flexed the true strength of your \","Misc","no"
"TGStation","achievement","mafia/detective","Detective Victory","If you did this with a Medical Doctor in the game, i'm not really that impressed.","Misc","no"
"TGStation","achievement","mafia/psychologist","Psychologist Victory","You learned how to not reveal someone random night one! Or... maybe you're just a lucky bastard.","Misc","no"
"TGStation","achievement","mafia/chaplain","Chaplain Victory","The curse finally broken.","Misc","no"
"TGStation","achievement","mafia/coroner","Coroner Victory","Useless... until the one night the thoughtfeeder confidently claims themselves as detective. Mafia's true bullshit detector.","Misc","no"
"TGStation","achievement","mafia/md","Medical Doctor Victory","Congratulations on learning how to not talk!","Misc","no"
"TGStation","achievement","mafia/officer","Security Officer Victory","Don't worry, you can win this if you're dead! You... did use your ability to become dead, right?","Misc","no"
"TGStation","achievement","mafia/lawyer","Lawyer Victory","Oh don't mind me, i'm just the worst rol- Oops, I just instantly ended the game.","Misc","no"
"TGStation","achievement","mafia/hop","Head of Personnel Victory","King of Assistants, waster of a single mafia's night, thrower of games.","Misc","no"
"TGStation","achievement","mafia/warden","Warden Victory","Make changelings think you're detective, go on lockdown, actual detective investigates you and dies. Cha cha real smooth!","Misc","no"
"TGStation","achievement","mafia/hos","Head of Security Victory","Certified not shitcurity.","Misc","no"
"TGStation","achievement","mafia/changeling","Changeling Victory","I think the changelings are metacomming.","Misc","no"
"TGStation","achievement","mafia/thoughtfeeder","Thoughtfeeder Victory","Clown's best friend. And Obsessed. And fugitive? Whose side are you on?!","Misc","no"
"TGStation","achievement","mafia/traitor","Traitor Victory","Guys, we still have two more changelings to ki-!! TRAITOR VICTORY !!","Misc","no"
"TGStation","achievement","mafia/nightmare","Nightmare Victory","DID YOUR LIGHT FLICKER?!","Misc","no"
"TGStation","achievement","mafia/fugitive","Fugitive Victory","I'm just the description on an achievement, but if you end up having to choose between town and changelings, go changelings.","Misc","no"
"TGStation","achievement","mafia/obsessed","Obsessed Victory","You got your target lynched, so instead of being spiteful and annoying, you're just smug and annoying.","Misc","no"
"TGStation","achievement","mafia/clown","Clown Victory","Did you know this works on traitors, despite their immunity? If you hit the jackpot and manage to kill one, they'll salt into the next dimension. Clown tips!","Misc","no"
"TGStation","achievement","mafia/universally_hated","Universally Hated","Managed to get more than 12 votes when put up on trial, jesus christ.","Misc","no"
"TGStation","achievement","misc/meteor_examine","Your Life Before Your Eyes","Take a close look at hurtling space debris","Misc","no"
"TGStation","achievement","misc/meteor_punch","Your Life In Your Hands","Give some space debris a piece of your mind","Misc","no"
"TGStation","achievement","misc/pulse","Jackpot","Win a pulse rifle from an arcade machine","Misc","no"
"TGStation","achievement","misc/time_waste","Time waster","Speak no evil, hear no evil, see just errors","Misc","no"
"TGStation","achievement","misc/round_and_full","Round and Full","Well at least you aren't down the river, I hear they eat people there.","Misc","no"
"TGStation","achievement","misc/the_best_driver","The Best Driver","100 honks later","Misc","no"
"TGStation","achievement","misc/getting_an_upgrade","Getting an upgrade","Make your first unique material item!","Misc","no"
"TGStation","achievement","misc/rocket_holdup","Disk, Please!","Is the man currently pointing a loaded rocket launcher at your head point blank really dumb enough to pull the trigger? Do you really want to find out?","Misc","no"
"TGStation","achievement","misc/gamer","My Watchlist Status is Not Important","You may be under the impression that violent video games are a harmless pastime, but the security and medical personnel swarming your location with batons and knockout gas look like they disagree.","Misc","no"
"TGStation","achievement","misc/vendor_squish","I Was a Teenage Anarchist","You were doing a great job sticking it to the system until that vending machine decided to fight back.","Misc","no"
"TGStation","achievement","misc/swirlie","A Bowl-d New World","There's a lot of grisly ways to kick it on the Spinward Periphery, but drowning to death in a toilet probably wasn't what you had in mind. Probably.","Misc","no"
"TGStation","achievement","misc/selfouch","How Do I Switch Hands???","If you saw someone casually club themselves upside the head with a toolbox anywhere in the galaxy but here, you'd probably be pretty concerned for them.","Misc","no"
"TGStation","achievement","misc/cleanboss","One Lean, Mean, Cleaning Machine","How does it feel to know that your workplace values a mop bucket on wheels more than you?","Misc","no"
"TGStation","achievement","misc/rule8","Rule 8","Call an admin this is ILLEGAL!!","Misc","no"
"TGStation","achievement","misc/speed_round","Long shift","Well, that didn't take long.","Misc","no"
"TGStation","achievement","misc/lookoutsir","Look Out, Sir!","Either awarded for making the ultimate sacrifice for your comrades, or a really dumb attempt at grenade jumping.","Misc","no"
"TGStation","achievement","misc/gottem","HA, GOTTEM","Made you look!","Misc","no"
