"Name","Desc","Category","Secret","Sources","Kind","Count"
"Tendril Exterminator","Watch your step","Misc","no","BeeStation, Monkestation, TGStation","achievement","3"
"Boss Killer","You've come a long ways from asking how to switch hands.","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Blood-Drunk Miner Killer","I guess he couldn't handle his drink that well.","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Demonic-Frost Miner Killer","Definitely harder than the Blood-Drunk Miner.","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Bubblegum Killer","I guess he wasn't made of candy after all","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Colossus Killer","The bigger they are... the better the loot","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Drake Killer","Now I can wear Rune Platebodies!","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Hierophant Killer","Hierophant, but not triumphant.","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Legion Killer","We were many..now we are none.","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Wendigo Killer","You've now ruined years of mythical storytelling.","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Thing Killer","Thank goodness it was not infectious. Probably.","Misc","no","TGStation","achievement","1"
"Blood-Drunk Miner Crusher","I guess he couldn't handle his drink that well.","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Demonic-Frost Miner Crusher","Definitely harder than the Blood-Drunk Miner.","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Bubblegum Crusher","I guess he wasn't made of candy after all","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Colossus Crusher","The bigger they are... the better the loot","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Drake Crusher","Now I can wear Rune Platebodies!","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Hierophant Crusher","Hierophant, but not triumphant.","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Legion Crusher","We were many... now we are none.","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Wendigo Crusher","You've now ruined years of mythical storytelling.","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Thing Crusher","MacReady would be proud.","Misc","no","TGStation","achievement","1"
"King Goat Killer","The king is dead, long live the king!","Misc","no","TGStation","achievement","1"
"King Goat Crusher","The king is dead, long live the king!","Misc","no","TGStation","achievement","1"
"Tendril Score","Watch your step","Misc","no","Monkestation, TGStation","score","2"
"Bosses Killed","You've killed HOW many?","Misc","no","Monkestation, Shiptest, TGStation","score","3"
"Blood-Drunk Miners Killed","You've killed HOW many?","Misc","no","Monkestation, Shiptest, TGStation","score","4"
"Demonic-Frost Miners Killed","You've killed HOW many?","Misc","no","Monkestation, TGStation","score","2"
"Bubblegums Killed","You've killed HOW many?","Misc","no","Monkestation, Shiptest, TGStation","score","3"
"Colossus Killed","You've killed HOW many?","Misc","no","Monkestation, Shiptest, TGStation","score","3"
"Drakes Killed","You've killed HOW many?","Misc","no","Monkestation, Shiptest, TGStation","score","3"
"Hierophants Killed","You've killed HOW many?","Misc","no","Monkestation, Shiptest, TGStation","score","3"
"Legions Killed","You've killed HOW many?","Misc","no","Monkestation, Shiptest, TGStation","score","3"
"Swarmer Beacons Killed","You've killed HOW many?","Misc","no","TGStation","score","1"
"Wendigos Killed","You've killed HOW many?","Misc","no","Monkestation, Shiptest, TGStation","score","3"
"The Thing Killed","You've killed HOW many?","Misc","no","TGStation","score","1"
"All Within Theoretical Limits","I never thought I'd see a resonance cascade, let alone prevent one...","Misc","no","Monkestation, TGStation","achievement","2"
"Mister Sandman","Mechanically speaking, there's no real benefit to being unconscious during surgery. Weird how insistent this doctor is about using the N2O anyway though, huh?","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Helbitaljanken","You janked hard","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Frenching","Just a taste, for science!","Misc","no","Monkestation, TGStation","achievement","2"
"Feat of Strength","If the rod is immovable, is it passing you or are you passing it?","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"KKKiiilll mmmeee","You were a little too ambitious, but hey, I guess you're still alive?","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Centcom Grade: Shitty Service","Well, you at least tried. How about trying harder?","Misc","no","Monkestation, TGStation","achievement","2"
"Centcom Grade: Acceptable Service","Well, it'll do! You and your department did just fine.","Misc","no","Monkestation, TGStation","achievement","2"
"Centcom Grade: Exemplary Service","Centcom is very impressed with your department!","Misc","no","Monkestation, TGStation","achievement","2"
"Tourists Served as Chef Highscore","Your highscore on serving tourist bots as chef.","Misc","no","Monkestation, TGStation","score","2"
"Tourists Served as Bartender Highscore","Your highscore on serving tourist bots as bartender.","Misc","no","Monkestation, TGStation","score","2"
"Assistant Victory","If you got killed instead of someone more important, you just flexed the true strength of your \","Misc","no","Monkestation, TGStation","achievement","2"
"Detective Victory","If you did this with a Medical Doctor in the game, i'm not really that impressed.","Misc","no","Monkestation, TGStation","achievement","2"
"Psychologist Victory","You learned how to not reveal someone random night one! Or... maybe you're just a lucky bastard.","Misc","no","Monkestation, TGStation","achievement","2"
"Chaplain Victory","The curse finally broken.","Misc","no","Monkestation, TGStation","achievement","2"
"Coroner Victory","Useless... until the one night the thoughtfeeder confidently claims themselves as detective. Mafia's true bullshit detector.","Misc","no","TGStation","achievement","1"
"Medical Doctor Victory","Congratulations on learning how to not talk!","Misc","no","Monkestation, TGStation","achievement","2"
"Security Officer Victory","Don't worry, you can win this if you're dead! You... did use your ability to become dead, right?","Misc","no","Monkestation, TGStation","achievement","2"
"Lawyer Victory","Oh don't mind me, i'm just the worst rol- Oops, I just instantly ended the game.","Misc","no","Monkestation, TGStation","achievement","2"
"Head of Personnel Victory","King of Assistants, waster of a single mafia's night, thrower of games.","Misc","no","Monkestation, TGStation","achievement","2"
"Warden Victory","Make changelings think you're detective, go on lockdown, actual detective investigates you and dies. Cha cha real smooth!","Misc","no","Monkestation, TGStation","achievement","2"
"Head of Security Victory","Certified not shitcurity.","Misc","no","Monkestation, TGStation","achievement","2"
"Changeling Victory","I think the changelings are metacomming.","Misc","no","Monkestation, TGStation","achievement","2"
"Thoughtfeeder Victory","Clown's best friend. And Obsessed. And fugitive? Whose side are you on?!","Misc","no","Monkestation, TGStation","achievement","2"
"Traitor Victory","Guys, we still have two more changelings to ki-!! TRAITOR VICTORY !!","Misc","no","Monkestation, TGStation","achievement","2"
"Nightmare Victory","DID YOUR LIGHT FLICKER?!","Misc","no","Monkestation, TGStation","achievement","2"
"Fugitive Victory","I'm just the description on an achievement, but if you end up having to choose between town and changelings, go changelings.","Misc","no","Monkestation, TGStation","achievement","2"
"Obsessed Victory","You got your target lynched, so instead of being spiteful and annoying, you're just smug and annoying.","Misc","no","Monkestation, TGStation","achievement","2"
"Clown Victory","Did you know this works on traitors, despite their immunity? If you hit the jackpot and manage to kill one, they'll salt into the next dimension. Clown tips!","Misc","no","Monkestation, TGStation","achievement","2"
"Universally Hated","Managed to get more than 12 votes when put up on trial, jesus christ.","Misc","no","Monkestation, TGStation","achievement","2"
"Your Life Before Your Eyes","Take a close look at hurtling space debris","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Your Life In Your Hands","Give some space debris a piece of your mind","Misc","no","TGStation","achievement","1"
